Hospitals,Region,Category,Beds,Yaxis,Xaxis,Address,Phone
Agia Eleni - Spiliopoulio,Athens,Pathology Hospital,0-100,37.98435,23.75646,D.Soytsoy 21,2132023400
Agioi Anargyroi,Kifissia,Anticancer Hospital,100-200,38.08055,23.77152,Noufarwn & Timiou Staurou 14,2103501500
Agios Savvas,Athens,Anticancer Hospital,300-400,37.98812,23.75555,Lewforos Aleksandras 171,2106409000
Aiginiteio,Athens,Neurological Hospital,0-100,37.97911,23.75403,Vas.Sofias 72-74,2107289400
Alexandra,Athens,General Hospital,400-500,37.98031,23.75705,Lewforos Vasilissis Sofias 80,2103381100
Amalia Fleming,Melissia,General Hospital,200-300,38.05471,23.83489,25hs Martiou 14,2132003200
Andreas Syggros,Athens,Hospital of Venereal and Dermatia,100-200,37.97360,23.75223,I.Dragoumi 5,2107265000
Asklepieion Voulas,Voula,General Hospital,300-400,37.84821,23.75473,Vasilews Paulou 1,2132163000
Attiko Hospital,Haidari,General Hospital,500-600,38.01682,23.66537,Rimini 1,2105831000
Venizeleio-Pananeio General Hospital of Heraklion,Heraklion,General Hospital,400-500,35.30568,23.15425,Lewf.Knwsou 44,2813408000
Vouvalio General Hospital - Health Center of Kalymnos,Kalymnos (Pothia),General Hospital,0-100,36.95688,26.97241,Nikiforou Zervou 22,2243361910
Georgios Gennimatas,Athens,General Hospital,600-700,37.99721,23.78268,Lewf.Mesogeiwn 154,2132032000
Dromokaiteio,Haidari,Psychiatric Hospital,500-600,38.00063,23.66261,Iera Odos 343,2132046000
Elena Venizelou,Athens,General Hospital,400-500,37.98528,23.75533,Elenas Venizelou 2,2132051000
Evangelismos,Athens,General Hospital,900-1000,37.97781,23.74772,Ypsilantou 45-47,2132041000
Thriassio,Magoula,General Hospital,300-400,38.07197,23.53228,Lewf.G.Gennimata,2132028000
Iaso (private),Maroussi,Obstetric Hospital,400-500,38.03521,23.79398,Lewf.Kifisias 37-39,2106184000
Ippokrateio,Athens,General Hospital,400-500,37.98376,23.75976,Vas.Sofias 114,2132088000
Korgialenio - Benakio Red Cross,Athens,General Hospital,400-500,37.99245,23.76905,Athanasaki 11,2132068000
Konstantopouleio (Agia Olga),Nea Ionia,General Hospital,200-300,38.03780,23.75826,Theodwrou Kwnstantopoulou 3-5,2132057000
Laiko,Athens,General Hospital,500-600,37.98346,23.76526,Agiou Thwma 17,No number
Lito (private),Athens,Obstetric Hospital,0-100,37.99905,23.76796,Mouswn 7-13,2106902000
Metaxa,Piraeus,Anticancer Hospital,400-500,37.92950,23.64413,Botasi 51,2132079100
Mitera,Maroussi,Obstetrics Hospital,400-500,38.02942,23.78903,Eruthrou Staurou,2106869000
Pammakaristos,Athens,General Hospital,100-200,38.01438,23.73158,Iakwvatwn 43,2132042100
Rea (private),Palaio Faliro,Obstetric Hospital,100-200,37.94105,23.69741,Lewf.Andrea Syggrou 383,2109495000
Sismanoglio,Maroussi,General Hospital,400-500,38.04647,23.82849,Sismanogleiou 37,2132058001
Sismanoglio Hospital of Komotini,Komotini,General Hospital,200-300,41.11232,25.41199,Sismanoglou 45,2531351100
Sotiria,Athens,General Hospital,700-800,37.99518,23.77936,Mesogeiwn 152,2107763100
Tzanio,Piraeus,General Hospital,400-500,37.93448,23.64544,Leoforos Afentouli,2132081000
Hygeia (private),Maroussi,General Hospital,200-300,38.02841,23.78962,Eruthrou Staurou 4,2106867000
Onassis Cardiac Surgery Center,Kallithea,Cardiac Surgery Hospital,0-100,37.94264,23.69777,Lewf.Andrea Suggrou 356,2109493000
Agia Varvara of Western Attica,Agia Varvara Attica,General Hospital,100-200,37.99354,23.66537,Loimwdwn,2132072900
251 Air Force General Hospital (GNA),Athens,Military Hospital,300-400,37.98986,23.78019,Lewf.Panagiwti Kanellopoulou,2107463399
401 Athens General Military Hospital (GSNA),Athens,Military Hospital,500-600,37.99187,23.77820,Lewf.Panagiwti Kanellopoulou,2107494000
404 Military Hospital of Larissa,Larissa,Military Hospital,100-200,39.63382,22.40641,Trikalwn 1 kai Lagou,2410993653
411 General Military Hospital (411 General Military Hospital),Tripoli,Military Hospital,200-300,37.51203,22.36289,Terma Eruthrou Staurou,2710391173
414 Military Hospital of Special Diseases (SNEN),Penteli,Military Hospital,600-700,38.06085,23.87375,Taksiarxou Veliou 414,2108106500
417 Army Share Fund Hospital (NIMTS),Athens,Military Hospital,0-100,37.97919,23.75140,Monis Petraki 10,2107288001
